# IDS Channel - extreme weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.752513	3.965591	0.213077	0.046550
0.001	3.790496	3.966881	0.176386	0.054950
0.002	3.759002	3.972262	0.213260	0.064550
0.003	3.704721	3.962666	0.257945	0.075275
0.004	3.672351	3.967730	0.295380	0.083750
0.005	3.635059	3.965809	0.330750	0.090925
0.006	3.612245	3.970666	0.358422	0.099575
0.007	3.561221	3.966195	0.404974	0.109175
0.008	3.537576	3.964828	0.427252	0.116175
0.009	3.492047	3.965584	0.473538	0.128125
0.010	3.474533	3.966069	0.491535	0.131050
