# IDS Channel - extreme_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.800191	3.853195	0.053005	0.009125
0.001	3.776278	3.854051	0.077773	0.021175
0.002	3.741564	3.854739	0.113175	0.029925
0.003	3.700027	3.858208	0.158181	0.042175
0.004	3.664790	3.858058	0.193267	0.050650
0.005	3.623471	3.847724	0.224253	0.060425
0.006	3.593832	3.858795	0.264963	0.069975
0.007	3.549419	3.854708	0.305289	0.080450
0.008	3.506650	3.856426	0.349777	0.093550
0.009	3.487151	3.867456	0.380304	0.099675
0.010	3.446622	3.858909	0.412287	0.109800
