# IDS Channel - medium_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	4.011045	4.112352	0.101307	0.019500
0.001	3.998226	4.109302	0.111076	0.030175
0.002	3.956161	4.112023	0.155862	0.041975
0.003	3.919658	4.112755	0.193097	0.049275
0.004	3.882364	4.113328	0.230964	0.059950
0.005	3.838096	4.112633	0.274537	0.069725
0.006	3.790359	4.108890	0.318530	0.079950
0.007	3.751552	4.109811	0.358259	0.090925
0.008	3.733648	4.112449	0.378802	0.096625
0.009	3.683626	4.113013	0.429386	0.107675
0.010	3.649594	4.111603	0.462008	0.114550
