# IDS Channel - strong weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.888523	4.082128	0.193605	0.042000
0.001	3.923327	4.083942	0.160616	0.048425
0.002	3.882261	4.081879	0.199619	0.057600
0.003	3.840394	4.081430	0.241036	0.067700
0.004	3.794746	4.080624	0.285878	0.078825
0.005	3.758350	4.080223	0.321873	0.087125
0.006	3.723264	4.082087	0.358823	0.096625
0.007	3.695673	4.084376	0.388703	0.101375
0.008	3.650362	4.083868	0.433506	0.111700
0.009	3.621256	4.085295	0.464039	0.121525
0.010	3.570780	4.086554	0.515774	0.131150
