# IDS Channel - strong_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.962714	4.048834	0.086120	0.016025
0.001	3.947041	4.046259	0.099218	0.026575
0.002	3.914600	4.048865	0.134264	0.035075
0.003	3.872631	4.050015	0.177385	0.046525
0.004	3.823088	4.047762	0.224674	0.058350
0.005	3.784087	4.046722	0.262635	0.067300
0.006	3.748505	4.051935	0.303430	0.077850
0.007	3.695917	4.044044	0.348127	0.087375
0.008	3.667404	4.046521	0.379116	0.095025
0.009	3.630187	4.048431	0.418244	0.106675
0.010	3.587059	4.050477	0.463418	0.116600
