# IDS Channel - uniform weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	4.032865	4.169654	0.136789	0.027550
0.001	4.033924	4.169715	0.135791	0.038350
0.002	3.992819	4.169562	0.176744	0.046925
0.003	3.955922	4.169677	0.213754	0.056300
0.004	3.916693	4.169742	0.253049	0.066475
0.005	3.879454	4.169577	0.290122	0.075750
0.006	3.833798	4.169624	0.335826	0.085250
0.007	3.795200	4.169609	0.374409	0.095025
0.008	3.758958	4.169713	0.410755	0.102175
0.009	3.727249	4.169769	0.442520	0.110400
0.010	3.679470	4.169479	0.490009	0.122025
