# ID Channel - extreme_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.712044	3.857086	0.145042	0.034017
0.001	3.655553	3.856381	0.200828	0.043602
0.002	3.593304	3.857730	0.264426	0.055954
0.003	3.533337	3.857135	0.323798	0.067056
0.004	3.464970	3.858139	0.393169	0.081103
0.005	3.397578	3.855662	0.458084	0.093735
0.006	3.332184	3.857711	0.525526	0.107016
0.007	3.253784	3.856757	0.602973	0.122913
0.008	3.184105	3.856953	0.672848	0.135670
0.009	3.111806	3.857232	0.745426	0.150866
0.010	3.044828	3.857763	0.812935	0.163972
