# ID Channel - light weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.748495	4.142349	0.393853	0.117786
0.001	3.692330	4.142534	0.450203	0.125673
0.002	3.633910	4.142078	0.508168	0.136476
0.003	3.581777	4.142416	0.560639	0.144506
0.004	3.526813	4.142057	0.615244	0.154876
0.005	3.475592	4.141893	0.666301	0.164272
0.006	3.416873	4.142419	0.725546	0.175314
0.007	3.360257	4.142177	0.781920	0.185900
0.008	3.301505	4.141845	0.840341	0.196702
0.009	3.246682	4.142299	0.895617	0.206435
0.010	3.189344	4.142545	0.953201	0.217194
