# ID Channel - medium_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.855655	4.112929	0.257274	0.067067
0.001	3.799394	4.111614	0.312221	0.075758
0.002	3.737559	4.112233	0.374674	0.087049
0.003	3.679801	4.111977	0.432176	0.097231
0.004	3.619421	4.112768	0.493347	0.108858
0.005	3.558078	4.112250	0.554172	0.120291
0.006	3.492510	4.112098	0.619588	0.132577
0.007	3.427518	4.112879	0.685361	0.144913
0.008	3.360990	4.112638	0.751648	0.156834
0.009	3.293784	4.112145	0.818361	0.169784
0.010	3.227655	4.112270	0.884614	0.182360
