# ID Channel - strong weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.660573	4.083827	0.423253	0.134278
0.001	3.603810	4.082995	0.479185	0.142391
0.002	3.548907	4.082052	0.533145	0.152128
0.003	3.499028	4.083397	0.584369	0.161048
0.004	3.443853	4.082473	0.638621	0.170323
0.005	3.393025	4.083414	0.690388	0.179730
0.006	3.338867	4.082946	0.744079	0.189638
0.007	3.281246	4.082947	0.801702	0.200650
0.008	3.227347	4.082763	0.855416	0.210004
0.009	3.169626	4.083046	0.913420	0.221189
0.010	3.119302	4.083735	0.964433	0.230135
