# ID Channel - strong_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.828134	4.046301	0.218167	0.054843
0.001	3.770445	4.046440	0.275996	0.064629
0.002	3.709838	4.046939	0.337101	0.075910
0.003	3.648458	4.046469	0.398010	0.087085
0.004	3.585852	4.046940	0.461088	0.099027
0.005	3.525796	4.046210	0.520414	0.110113
0.006	3.453697	4.046274	0.592577	0.123728
0.007	3.387727	4.046569	0.658842	0.136521
0.008	3.324766	4.047138	0.722372	0.148627
0.009	3.251342	4.046675	0.795333	0.162564
0.010	3.182877	4.046566	0.863689	0.175612
