# DEL Channel - extreme_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.712048	3.856811	0.144763	0.033927
0.001	3.690198	3.857553	0.167355	0.039845
0.002	3.662164	3.855874	0.193709	0.046735
0.003	3.644493	3.857921	0.213428	0.051733
0.004	3.614621	3.855998	0.241377	0.059023
0.005	3.590868	3.854728	0.263860	0.064950
0.006	3.563372	3.857204	0.293832	0.072045
0.007	3.535025	3.855948	0.320923	0.079029
0.008	3.509464	3.856892	0.347428	0.085600
0.009	3.477347	3.856357	0.379009	0.093232
0.010	3.453435	3.858388	0.404953	0.099376
