# DEL Channel - light weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.749038	4.142508	0.393470	0.117358
0.001	3.730088	4.142542	0.412454	0.122291
0.002	3.706335	4.142282	0.435947	0.127604
0.003	3.684893	4.142336	0.457443	0.133283
0.004	3.659233	4.141966	0.482734	0.139284
0.005	3.641405	4.142253	0.500848	0.143617
0.006	3.612501	4.142123	0.529622	0.150504
0.007	3.586392	4.142351	0.555959	0.156118
0.008	3.566134	4.142607	0.576473	0.161239
0.009	3.535773	4.141867	0.606094	0.168267
0.010	3.512239	4.142041	0.629803	0.173652
