# DEL Channel - light_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.860420	4.136543	0.276123	0.073155
0.001	3.838787	4.136851	0.298064	0.078704
0.002	3.813082	4.136592	0.323509	0.085161
0.003	3.792980	4.136363	0.343383	0.089759
0.004	3.764429	4.136607	0.372178	0.096624
0.005	3.742553	4.136256	0.393703	0.101767
0.006	3.713017	4.136916	0.423899	0.109041
0.007	3.683711	4.136441	0.452729	0.115753
0.008	3.660932	4.136582	0.475650	0.121312
0.009	3.633378	4.136485	0.503107	0.127388
0.010	3.607267	4.136182	0.528915	0.133618
