# DEL Channel - medium weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.718417	4.124385	0.405968	0.123717
0.001	3.699439	4.125517	0.426078	0.128393
0.002	3.675752	4.124816	0.449065	0.134170
0.003	3.657904	4.125215	0.467311	0.138547
0.004	3.631057	4.124875	0.493818	0.144997
0.005	3.611844	4.125417	0.513573	0.149746
0.006	3.584211	4.124819	0.540607	0.156710
0.007	3.558186	4.124224	0.566038	0.162162
0.008	3.536622	4.125187	0.588565	0.167406
0.009	3.511738	4.125010	0.613272	0.173109
0.010	3.489451	4.124560	0.635109	0.177800
