# DEL Channel - strong weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.659526	4.082964	0.423439	0.134300
0.001	3.640181	4.082863	0.442682	0.139163
0.002	3.616668	4.083619	0.466952	0.145150
0.003	3.598850	4.083041	0.484191	0.149494
0.004	3.573381	4.082588	0.509207	0.155571
0.005	3.554286	4.082648	0.528363	0.160391
0.006	3.527167	4.083278	0.556111	0.166674
0.007	3.503531	4.083379	0.579849	0.172700
0.008	3.480996	4.083574	0.602578	0.177518
0.009	3.457366	4.083714	0.626348	0.182560
0.010	3.435112	4.082901	0.647789	0.188385
