# DEL Channel - strong_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.829801	4.046553	0.216752	0.054788
0.001	3.807122	4.047560	0.240438	0.060940
0.002	3.780539	4.047042	0.266503	0.067441
0.003	3.760205	4.046628	0.286423	0.072454
0.004	3.730240	4.045999	0.315759	0.079616
0.005	3.707706	4.047231	0.339525	0.085863
0.006	3.677932	4.046603	0.368671	0.092191
0.007	3.648839	4.046690	0.397850	0.099603
0.008	3.625347	4.046887	0.421540	0.105099
0.009	3.597298	4.047499	0.450201	0.111750
0.010	3.570029	4.047551	0.477522	0.118401
