# DEL Channel - uniform weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.828931	4.169911	0.340980	0.095553
0.001	3.807227	4.169905	0.362678	0.101200
0.002	3.783218	4.169914	0.386696	0.106929
0.003	3.763033	4.169911	0.406878	0.111975
0.004	3.737080	4.169914	0.432835	0.118075
0.005	3.715959	4.169921	0.453961	0.123043
0.006	3.686281	4.169918	0.483637	0.130099
0.007	3.660356	4.169907	0.509551	0.135797
0.008	3.637001	4.169910	0.532909	0.141453
0.009	3.608469	4.169920	0.561451	0.147840
0.010	3.587127	4.169914	0.582787	0.152870
