# IDS Channel - light weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.980575	4.142146	0.161571	0.033300
0.001	3.993611	4.142440	0.148830	0.044775
0.002	3.953209	4.140748	0.187539	0.052950
0.003	3.906710	4.142988	0.236278	0.063325
0.004	3.875766	4.140421	0.264655	0.069700
0.005	3.834639	4.140769	0.306130	0.081800
0.006	3.796178	4.139817	0.343638	0.088950
0.007	3.752245	4.140316	0.388072	0.101550
0.008	3.720230	4.143246	0.423016	0.109825
0.009	3.690411	4.142276	0.451866	0.115050
0.010	3.639311	4.143594	0.504283	0.126900
