# IDS Channel - light_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	4.025196	4.135648	0.110452	0.021500
0.001	4.023560	4.135578	0.112018	0.030700
0.002	3.973261	4.135301	0.162040	0.042000
0.003	3.943741	4.137517	0.193775	0.049525
0.004	3.897847	4.137546	0.239699	0.061175
0.005	3.865006	4.136075	0.271069	0.069500
0.006	3.831927	4.135860	0.303933	0.075625
0.007	3.781093	4.135172	0.354079	0.088250
0.008	3.744997	4.137760	0.392764	0.099075
0.009	3.701785	4.139505	0.437721	0.109375
0.010	3.658204	4.135024	0.476820	0.118750
