# IDS Channel - medium weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.950453	4.124282	0.173829	0.036475
0.001	3.970705	4.125782	0.155078	0.047050
0.002	3.928945	4.124315	0.195371	0.056725
0.003	3.893920	4.123921	0.230001	0.064250
0.004	3.847560	4.123432	0.275873	0.074300
0.005	3.820146	4.126879	0.306733	0.080825
0.006	3.766164	4.122853	0.356689	0.092775
0.007	3.740942	4.125451	0.384509	0.099175
0.008	3.710404	4.122290	0.411886	0.108125
0.009	3.678625	4.126069	0.447444	0.116125
0.010	3.625070	4.125785	0.500715	0.126375
