# ID Channel - extreme weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.514473	3.966311	0.451838	0.154966
0.001	3.461962	3.965899	0.503937	0.162813
0.002	3.411669	3.967935	0.556266	0.171384
0.003	3.361654	3.966404	0.604750	0.179797
0.004	3.310481	3.966497	0.656016	0.189893
0.005	3.260267	3.964087	0.703821	0.198282
0.006	3.211787	3.966380	0.754593	0.208005
0.007	3.161362	3.967851	0.806489	0.216585
0.008	3.109859	3.966090	0.856231	0.226288
0.009	3.058089	3.966085	0.907996	0.236263
0.010	3.011058	3.966722	0.955664	0.244620
