# ID Channel - light_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.860087	4.136589	0.276503	0.073260
0.001	3.803556	4.136976	0.333421	0.082204
0.002	3.740987	4.135987	0.395000	0.093370
0.003	3.686235	4.137020	0.450785	0.103386
0.004	3.627059	4.136604	0.509545	0.114545
0.005	3.565353	4.136328	0.570975	0.125745
0.006	3.503888	4.137496	0.633608	0.137647
0.007	3.438803	4.136332	0.697530	0.149897
0.008	3.366850	4.136243	0.769393	0.162868
0.009	3.302871	4.136430	0.833558	0.174748
0.010	3.247396	4.136095	0.888699	0.185432
