# ID Channel - medium weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.720230	4.125025	0.404795	0.123216
0.001	3.661960	4.124489	0.462529	0.132350
0.002	3.604924	4.124841	0.519917	0.142242
0.003	3.555677	4.125231	0.569554	0.150370
0.004	3.499267	4.124711	0.625444	0.161136
0.005	3.447750	4.125158	0.677408	0.169892
0.006	3.393544	4.125654	0.732110	0.179758
0.007	3.336980	4.125244	0.788264	0.190926
0.008	3.283016	4.124902	0.841886	0.200162
0.009	3.222161	4.124619	0.902459	0.211423
0.010	3.161555	4.124844	0.963289	0.222470
