# ID Channel - uniform weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.830954	4.169914	0.338960	0.095261
0.001	3.773377	4.169909	0.396531	0.104208
0.002	3.712147	4.169914	0.457767	0.115152
0.003	3.660333	4.169915	0.509582	0.123784
0.004	3.599143	4.169911	0.570768	0.135316
0.005	3.541068	4.169911	0.628843	0.145921
0.006	3.486451	4.169918	0.683467	0.155916
0.007	3.423084	4.169896	0.746812	0.167504
0.008	3.364415	4.169916	0.805500	0.178266
0.009	3.304101	4.169917	0.865816	0.189491
0.010	3.243195	4.169911	0.926717	0.201044
