# DEL Channel - extreme weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.515855	3.967326	0.451472	0.154387
0.001	3.496400	3.966315	0.469915	0.159382
0.002	3.475616	3.967132	0.491515	0.164979
0.003	3.459230	3.967130	0.507900	0.169171
0.004	3.436227	3.967431	0.531204	0.174758
0.005	3.418967	3.968011	0.549043	0.179217
0.006	3.394291	3.966987	0.572695	0.184972
0.007	3.370173	3.967010	0.596837	0.191230
0.008	3.347125	3.966753	0.619628	0.196286
0.009	3.324494	3.965495	0.641001	0.201679
0.010	3.306767	3.967983	0.661217	0.205494
