# DEL Channel - medium_reverce weighting
# Error_Rate	Mutual_Info	Entropy_X	Entropy_XY	SER
0.000	3.856575	4.111700	0.255124	0.066356
0.001	3.834846	4.112021	0.277175	0.072051
0.002	3.808129	4.112050	0.303920	0.078717
0.003	3.788730	4.112229	0.323499	0.083432
0.004	3.759331	4.111417	0.352086	0.090119
0.005	3.736249	4.112115	0.375867	0.096379
0.006	3.710765	4.112076	0.401311	0.101931
0.007	3.681437	4.112584	0.431147	0.109392
0.008	3.654409	4.111742	0.457334	0.115117
0.009	3.626156	4.111948	0.485792	0.122243
0.010	3.605058	4.112986	0.507928	0.127005
