# GENew Probability Table: P(e_(i+1)v|...)
# Format: Nu2 binary(y) binary(xi) error_state probability
# error_state: 0=Match, 1=Insertion, 2=Deletion, 3=Substitution
Nu2	binary(y)	binary(xi)	error_state	probability
0	(empty)	001011	0	1.093750e-08
0	(empty)	001011	1	1.562500e-09
0	(empty)	001011	2	1.562500e-09
0	(empty)	001011	3	1.562500e-09
1	0	001011	0	2.187500e-07
1	0	001011	1	3.125000e-08
1	0	001011	2	3.125000e-08
1	0	001011	3	3.125000e-08
2	00	001011	0	4.375000e-06
2	00	001011	1	6.250000e-07
2	00	001011	2	6.250000e-07
2	00	001011	3	6.250000e-07
3	000	001011	0	0.000000e+00
3	000	001011	1	0.000000e+00
3	000	001011	2	2.722664e-08
3	000	001011	3	1.842697e-12
3	000	001101	0	0.000000e+00
3	000	001101	1	5.084508e-15
3	000	001101	2	2.718634e-08
3	000	001101	3	2.480580e-10
3	000	001110	0	2.204096e-07
3	000	001110	1	5.005180e-13
3	000	001110	2	4.719517e-09
3	000	001110	3	0.000000e+00
3	000	010011	0	0.000000e+00
3	000	010011	1	0.000000e+00
3	000	010011	2	2.542500e-08
3	000	010011	3	1.842697e-12
3	000	010101	0	0.000000e+00
3	000	010101	1	5.084508e-15
3	000	010101	2	3.068598e-09
3	000	010101	3	2.480580e-10
3	000	010110	0	1.425044e-09
3	000	010110	1	5.005180e-13
3	000	010110	2	2.908266e-09
3	000	010110	3	0.000000e+00
3	000	011001	0	0.000000e+00
3	000	011001	1	5.084508e-15
3	000	011001	2	2.255210e-08
3	000	011001	3	4.934798e-10
3	000	011010	0	1.574763e-09
3	000	011010	1	5.005180e-13
3	000	011010	2	8.536616e-11
3	000	011010	3	0.000000e+00
3	000	011100	0	2.206550e-07
3	000	011100	1	9.957187e-13
3	000	011100	2	6.027219e-11
3	000	011100	3	0.000000e+00
3	000	100011	0	0.000000e+00
3	000	100011	1	0.000000e+00
3	000	100011	2	2.541550e-08
3	000	100011	3	1.842697e-12
3	000	100101	0	0.000000e+00
3	000	100101	1	5.084508e-15
3	000	100101	2	3.059092e-09
3	000	100101	3	2.911872e-12
3	000	100110	0	1.330680e-09
3	000	100110	1	5.873393e-15
3	000	100110	2	2.908379e-09
3	000	100110	3	0.000000e+00
3	000	101001	0	0.000000e+00
3	000	101001	1	5.084508e-15
3	000	101001	2	1.947790e-10
3	000	101001	3	2.483336e-10
3	000	101010	0	3.109834e-10
3	000	101010	1	5.873393e-15
3	000	101010	2	3.428808e-11
3	000	101010	3	0.000000e+00
3	000	101100	0	1.576079e-09
3	000	101100	1	5.010741e-13
3	000	101100	2	1.905216e-11
3	000	101100	3	0.000000e+00
3	000	110001	0	0.000000e+00
3	000	110001	1	5.084508e-15
3	000	110001	2	2.253897e-08
3	000	110001	3	2.483336e-10
3	000	110010	0	1.332519e-09
3	000	110010	1	5.873393e-15
3	000	110010	2	7.198797e-11
3	000	110010	3	0.000000e+00
3	000	110100	0	1.428198e-09
3	000	110100	1	5.010741e-13
3	000	110100	2	3.727535e-11
3	000	110100	3	0.000000e+00
3	001	001011	0	2.217439e-07
3	001	001011	1	0.000000e+00
3	001	001011	2	4.252149e-06
3	001	001011	3	0.000000e+00
3	001	001101	0	4.419949e-07
3	001	001101	1	5.084508e-15
3	001	001101	2	4.229577e-06
3	001	001101	3	0.000000e+00
3	001	001110	0	0.000000e+00
3	001	001110	1	5.005180e-13
3	001	001110	2	4.252044e-06
3	001	001110	3	0.000000e+00
3	001	010011	0	3.928796e-09
3	001	010011	1	0.000000e+00
3	001	010011	2	4.515888e-08
3	001	010011	3	0.000000e+00
3	001	010101	0	2.230103e-07
3	001	010101	1	5.084508e-15
3	001	010101	2	2.254737e-08
3	001	010101	3	0.000000e+00
3	001	010110	0	0.000000e+00
3	001	010110	1	5.005180e-13
3	001	010110	2	2.270770e-08
3	001	010110	3	0.000000e+00
3	001	011001	0	4.422398e-07
3	001	011001	1	5.084508e-15
3	001	011001	2	2.928307e-09
3	001	011001	3	0.000000e+00
3	001	011010	0	0.000000e+00
3	001	011010	1	5.005180e-13
3	001	011010	2	2.539505e-08
3	001	011010	3	1.842697e-12
3	001	011100	0	0.000000e+00
3	001	011100	1	9.957187e-13
3	001	011100	2	2.928361e-09
3	001	011100	3	2.467404e-10
3	001	100011	0	2.665016e-09
3	001	100011	1	0.000000e+00
3	001	100011	2	2.277560e-08
3	001	100011	3	0.000000e+00
3	001	100101	0	3.931426e-09
3	001	100101	1	5.084508e-15
3	001	100101	2	2.251058e-08
3	001	100101	3	0.000000e+00
3	001	100110	0	0.000000e+00
3	001	100110	1	5.873393e-15
3	001	100110	2	2.266129e-08
3	001	100110	3	0.000000e+00
3	001	101001	0	2.219914e-07
3	001	101001	1	5.084508e-15
3	001	101001	2	2.883304e-09
3	001	101001	3	0.000000e+00
3	001	101010	0	0.000000e+00
3	001	101010	1	5.873393e-15
3	001	101010	2	3.043795e-09
3	001	101010	3	1.842697e-12
3	001	101100	0	0.000000e+00
3	001	101100	1	5.010741e-13
3	001	101100	2	2.913745e-09
3	001	101100	3	1.594241e-12
3	001	110001	0	2.230130e-07
3	001	110001	1	5.084508e-15
3	001	110001	2	2.552753e-11
3	001	110001	3	0.000000e+00
3	001	110010	0	0.000000e+00
3	001	110010	1	5.873393e-15
3	001	110010	2	2.249250e-08
3	001	110010	3	1.842697e-12
3	001	110100	0	0.000000e+00
3	001	110100	1	5.010741e-13
3	001	110100	2	2.590028e-11
3	001	110100	3	1.594241e-12
3	010	001011	0	0.000000e+00
3	010	001011	1	5.031767e-13
3	010	001011	2	4.500359e-08
3	010	001011	3	4.947964e-10
3	010	001101	0	0.000000e+00
3	010	001101	1	9.983774e-13
3	010	001101	2	2.294707e-08
3	010	001101	3	1.015661e-15
3	010	001110	0	2.253683e-07
3	010	001110	1	0.000000e+00
3	010	001110	2	1.206507e-10
3	010	001110	3	0.000000e+00
3	010	010011	0	0.000000e+00
3	010	010011	1	5.031767e-13
3	010	010011	2	4.229562e-06
3	010	010011	3	4.947964e-10
3	010	010101	0	0.000000e+00
3	010	010101	1	9.983774e-13
3	010	010101	2	4.274495e-06
3	010	010101	3	1.015661e-15
3	010	010110	0	4.443466e-07
3	010	010110	1	0.000000e+00
3	010	010110	2	4.207145e-06
3	010	010110	3	0.000000e+00
3	010	011001	0	0.000000e+00
3	010	011001	1	9.983774e-13
3	010	011001	2	7.221901e-08
3	010	011001	3	1.843713e-12
3	010	011010	0	6.624003e-07
3	010	011010	1	0.000000e+00
3	010	011010	2	4.963235e-08
3	010	011010	3	0.000000e+00
3	010	011100	0	2.227623e-07
3	010	011100	1	5.084508e-15
3	010	011100	2	4.977742e-08
3	010	011100	3	0.000000e+00
3	010	100011	0	0.000000e+00
3	010	100011	1	8.532050e-15
3	010	100011	2	4.774951e-11
3	010	100011	3	2.496502e-10
3	010	100101	0	0.000000e+00
3	010	100101	1	5.037328e-13
3	010	100101	2	2.264413e-08
3	010	100101	3	1.015661e-15
3	010	100110	0	3.788515e-09
3	010	100110	1	0.000000e+00
3	010	100110	2	5.731462e-11
3	010	100110	3	0.000000e+00
3	010	101001	0	0.000000e+00
3	010	101001	1	5.037328e-13
3	010	101001	2	2.262287e-08
3	010	101001	3	1.843713e-12
3	010	101010	0	2.230117e-07
3	010	101010	1	0.000000e+00
3	010	101010	2	2.250246e-08
3	010	101010	3	0.000000e+00
3	010	101100	0	1.188831e-09
3	010	101100	1	5.084508e-15
3	010	101100	2	3.010380e-10
3	010	101100	3	0.000000e+00
3	010	110001	0	0.000000e+00
3	010	110001	1	5.037328e-13
3	010	110001	2	2.929368e-09
3	010	110001	3	1.843713e-12
3	010	110010	0	2.219838e-07
3	010	110010	1	0.000000e+00
3	010	110010	2	2.898657e-09
3	010	110010	3	0.000000e+00
3	010	110100	0	1.330426e-09
3	010	110100	1	5.084508e-15
3	010	110100	2	2.539014e-08
3	010	110100	3	0.000000e+00
3	011	001011	0	4.445927e-07
3	011	001011	1	5.031767e-13
3	011	001011	2	3.198261e-09
3	011	001011	3	0.000000e+00
3	011	001101	0	3.784048e-09
3	011	001101	1	9.983774e-13
3	011	001101	2	4.786656e-08
3	011	001101	3	0.000000e+00
3	011	001110	0	0.000000e+00
3	011	001110	1	0.000000e+00
3	011	001110	2	7.069298e-08
3	011	001110	3	2.480570e-10
3	011	010011	0	6.624016e-07
3	011	010011	1	5.031767e-13
3	011	010011	2	2.719129e-08
3	011	010011	3	0.000000e+00
3	011	010101	0	2.227623e-07
3	011	010101	1	9.983774e-13
3	011	010101	2	2.722608e-08
3	011	010101	3	0.000000e+00
3	011	010110	0	0.000000e+00
3	011	010110	1	0.000000e+00
3	011	010110	2	9.457579e-08
3	011	010110	3	2.480570e-10
3	011	011001	0	2.217363e-07
3	011	011001	1	9.983774e-13
3	011	011001	2	4.207130e-06
3	011	011001	3	0.000000e+00
3	011	011010	0	0.000000e+00
3	011	011010	1	0.000000e+00
3	011	011010	2	4.229717e-06
3	011	011010	3	4.934788e-10
3	011	011100	0	0.000000e+00
3	011	011100	1	5.084508e-15
3	011	011100	2	4.252063e-06
3	011	011100	3	1.015661e-15
3	011	100011	0	2.230130e-07
3	011	100011	1	8.532050e-15
3	011	100011	2	1.628601e-11
3	011	100011	3	0.000000e+00
3	011	100101	0	1.188831e-09
3	011	100101	1	5.037328e-13
3	011	100101	2	4.122039e-11
3	011	100101	3	0.000000e+00
3	011	100110	0	0.000000e+00
3	011	100110	1	0.000000e+00
3	011	100110	2	2.262804e-08
3	011	100110	3	2.910857e-12
3	011	101001	0	1.332265e-09
3	011	101001	1	5.037328e-13
3	011	101001	2	4.677176e-11
3	011	101001	3	0.000000e+00
3	011	101010	0	0.000000e+00
3	011	101010	1	0.000000e+00
3	011	101010	2	1.671770e-10
3	011	101010	3	2.483326e-10
3	011	101100	0	0.000000e+00
3	011	101100	1	5.084508e-15
3	011	101100	2	2.251378e-08
3	011	101100	3	1.015661e-15
3	011	110001	0	3.044436e-10
3	011	110001	1	5.037328e-13
3	011	110001	2	1.364060e-11
3	011	110001	3	0.000000e+00
3	011	110010	0	0.000000e+00
3	011	110010	1	0.000000e+00
3	011	110010	2	4.435167e-11
3	011	110010	3	2.483326e-10
3	011	110100	0	0.000000e+00
3	011	110100	1	5.084508e-15
3	011	110100	2	5.407827e-11
3	011	110100	3	1.015661e-15
3	100	001011	0	0.000000e+00
3	100	001011	1	5.084508e-15
3	100	001011	2	5.407827e-11
3	100	001011	3	1.015661e-15
3	100	001101	0	0.000000e+00
3	100	001101	1	0.000000e+00
3	100	001101	2	4.435167e-11
3	100	001101	3	2.483326e-10
3	100	001110	0	3.044436e-10
3	100	001110	1	5.037328e-13
3	100	001110	2	1.364060e-11
3	100	001110	3	0.000000e+00
3	100	010011	0	0.000000e+00
3	100	010011	1	5.084508e-15
3	100	010011	2	2.251378e-08
3	100	010011	3	1.015661e-15
3	100	010101	0	0.000000e+00
3	100	010101	1	0.000000e+00
3	100	010101	2	1.671770e-10
3	100	010101	3	2.483326e-10
3	100	010110	0	1.332265e-09
3	100	010110	1	5.037328e-13
3	100	010110	2	4.677176e-11
3	100	010110	3	0.000000e+00
3	100	011001	0	0.000000e+00
3	100	011001	1	0.000000e+00
3	100	011001	2	2.262804e-08
3	100	011001	3	2.910857e-12
3	100	011010	0	1.188831e-09
3	100	011010	1	5.037328e-13
3	100	011010	2	4.122039e-11
3	100	011010	3	0.000000e+00
3	100	011100	0	2.230130e-07
3	100	011100	1	8.532050e-15
3	100	011100	2	1.628601e-11
3	100	011100	3	0.000000e+00
3	100	100011	0	0.000000e+00
3	100	100011	1	5.084508e-15
3	100	100011	2	4.252063e-06
3	100	100011	3	1.015661e-15
3	100	100101	0	0.000000e+00
3	100	100101	1	0.000000e+00
3	100	100101	2	4.229717e-06
3	100	100101	3	4.934788e-10
3	100	100110	0	2.217363e-07
3	100	100110	1	9.983774e-13
3	100	100110	2	4.207130e-06
3	100	100110	3	0.000000e+00
3	100	101001	0	0.000000e+00
3	100	101001	1	0.000000e+00
3	100	101001	2	9.457579e-08
3	100	101001	3	2.480570e-10
3	100	101010	0	2.227623e-07
3	100	101010	1	9.983774e-13
3	100	101010	2	2.722608e-08
3	100	101010	3	0.000000e+00
3	100	101100	0	6.624016e-07
3	100	101100	1	5.031767e-13
3	100	101100	2	2.719129e-08
3	100	101100	3	0.000000e+00
3	100	110001	0	0.000000e+00
3	100	110001	1	0.000000e+00
3	100	110001	2	7.069298e-08
3	100	110001	3	2.480570e-10
3	100	110010	0	3.784048e-09
3	100	110010	1	9.983774e-13
3	100	110010	2	4.786656e-08
3	100	110010	3	0.000000e+00
3	100	110100	0	4.445927e-07
3	100	110100	1	5.031767e-13
3	100	110100	2	3.198261e-09
3	100	110100	3	0.000000e+00
3	101	001011	0	1.330426e-09
3	101	001011	1	5.084508e-15
3	101	001011	2	2.539014e-08
3	101	001011	3	0.000000e+00
3	101	001101	0	2.219838e-07
3	101	001101	1	0.000000e+00
3	101	001101	2	2.898657e-09
3	101	001101	3	0.000000e+00
3	101	001110	0	0.000000e+00
3	101	001110	1	5.037328e-13
3	101	001110	2	2.929368e-09
3	101	001110	3	1.843713e-12
3	101	010011	0	1.188831e-09
3	101	010011	1	5.084508e-15
