# GXNew Probability Table: P(y|x,e)
# Format: Nu2 binary(y) binary(xi) error_state probability
# error_state: 0=Match, 1=Insertion, 2=Deletion, 3=Substitution
Nu2	binary(y)	binary(xi)	error_state	probability
0	(empty)	001011	0	0.000000e+00
0	(empty)	001011	1	0.000000e+00
0	(empty)	001011	2	1.562500e-08
0	(empty)	001011	3	0.000000e+00
1	0	001011	0	2.187500e-07
1	0	001011	1	3.125000e-08
1	0	001011	2	3.125000e-08
1	0	001011	3	3.125000e-08
2	00	001011	0	4.375000e-06
2	00	001011	1	6.250000e-07
2	00	001011	2	6.250000e-07
2	00	001011	3	6.250000e-07
3	000	001011	0	0.000000e+00
3	000	001011	1	0.000000e+00
3	000	001011	2	0.000000e+00
3	000	001011	3	0.000000e+00
3	000	001101	0	0.000000e+00
3	000	001101	1	0.000000e+00
3	000	001101	2	0.000000e+00
3	000	001101	3	0.000000e+00
3	000	001110	0	1.213584e-07
3	000	001110	1	1.733692e-08
3	000	001110	2	1.733692e-08
3	000	001110	3	1.733692e-08
3	000	010011	0	0.000000e+00
3	000	010011	1	0.000000e+00
3	000	010011	2	0.000000e+00
3	000	010011	3	0.000000e+00
3	000	010101	0	0.000000e+00
3	000	010101	1	0.000000e+00
3	000	010101	2	0.000000e+00
3	000	010101	3	0.000000e+00
3	000	010110	0	2.974298e-08
3	000	010110	1	4.248997e-09
3	000	010110	2	4.248997e-09
3	000	010110	3	4.248997e-09
3	000	011001	0	0.000000e+00
3	000	011001	1	0.000000e+00
3	000	011001	2	0.000000e+00
3	000	011001	3	0.000000e+00
3	000	011010	0	2.986662e-08
3	000	011010	1	4.266660e-09
3	000	011010	2	4.266660e-09
3	000	011010	3	4.266660e-09
3	000	011100	0	1.216881e-07
3	000	011100	1	1.738402e-08
3	000	011100	2	1.738402e-08
3	000	011100	3	1.738402e-08
3	000	100011	0	0.000000e+00
3	000	100011	1	0.000000e+00
3	000	100011	2	0.000000e+00
3	000	100011	3	0.000000e+00
3	000	100101	0	0.000000e+00
3	000	100101	1	0.000000e+00
3	000	100101	2	0.000000e+00
3	000	100101	3	0.000000e+00
3	000	100110	0	2.932329e-08
3	000	100110	1	4.189042e-09
3	000	100110	2	4.189042e-09
3	000	100110	3	4.189042e-09
3	000	101001	0	0.000000e+00
3	000	101001	1	0.000000e+00
3	000	101001	2	0.000000e+00
3	000	101001	3	0.000000e+00
3	000	101010	0	7.680923e-09
3	000	101010	1	1.097275e-09
3	000	101010	2	1.097275e-09
3	000	101010	3	1.097275e-09
3	000	101100	0	2.985212e-08
3	000	101100	1	4.264588e-09
3	000	101100	2	4.264588e-09
