# GD (Drift Probability) Table
# Parameters: Pi=0.004000 Pd=0.004000 Ps=0.004000 Pt=0.992000
# Drng=7 Nu=6
# Format: d0 d1 probability
d0	d1	probability
3	3	9.764736535025e-01
3	4	2.329141303174e-02
3	5	2.336763403264e-04
3	6	1.253334409216e-06
3	7	3.784925184000e-09
3	8	6.098944000000e-12
3	9	4.096000000000e-15
4	3	2.329141303174e-02
4	4	9.534159168111e-01
4	5	2.305899002583e-02
4	6	2.324267908424e-04
4	7	1.249555582976e-06
4	8	3.778830336000e-09
4	9	6.098944000000e-12
5	3	2.336763403264e-04
5	4	2.305899002583e-02
5	5	9.534146672616e-01
5	6	2.305898624700e-02
5	7	2.324267847475e-04
5	8	1.249555582976e-06
5	9	3.784925184000e-09
6	3	1.253334409216e-06
6	4	2.324267908424e-04
6	5	2.305898624700e-02
6	6	9.534146672555e-01
6	7	2.305898624700e-02
6	8	2.324267908424e-04
6	9	1.253334409216e-06
7	3	3.784925184000e-09
7	4	1.249555582976e-06
7	5	2.324267847475e-04
7	6	2.305898624700e-02
7	7	9.534146672616e-01
7	8	2.305899002583e-02
7	9	2.336763403264e-04
8	3	6.098944000000e-12
8	4	3.778830336000e-09
8	5	1.249555582976e-06
8	6	2.324267908424e-04
8	7	2.305899002583e-02
8	8	9.534159168111e-01
8	9	2.329141303174e-02
9	3	4.096000000000e-15
9	4	6.098944000000e-12
9	5	3.784925184000e-09
9	6	1.253334409216e-06
9	7	2.336763403264e-04
9	8	2.329141303174e-02
9	9	9.764736535025e-01
