# GX (Channel Output Probability) Table
# Parameters: Pi=0.004000 Pd=0.004000 Ps=0.004000 Pt=0.992000
# Nu=6 Q=18 Nu2min=3 Nu2max=9
# Format: ly binary(y) xi probability
ly	binary(y)	xi	probability
0	(approx)	-1	4.096000000000e-15
1	(approx)	-1	1.024000000000e-12
2	(approx)	-1	2.560000000000e-10
3	000	0	6.397574606225e-08
3	000	1	6.397574606225e-08
3	000	2	6.397574606225e-08
3	000	3	6.397574606225e-08
3	000	4	6.397574606225e-08
3	000	5	6.397574606225e-08
3	000	6	6.397574606225e-08
3	000	7	6.397574606225e-08
3	000	8	6.397574606225e-08
3	000	9	6.397574606225e-08
3	000	10	6.397574606225e-08
3	000	11	6.397574606225e-08
3	000	12	6.397574606225e-08
3	000	13	6.397574606225e-08
3	000	14	6.397574606225e-08
3	000	15	6.397574606225e-08
3	000	16	6.397574606225e-08
3	000	17	6.397574606225e-08
3	001	0	4.345969157546e-07
3	001	1	3.108909234735e-07
3	001	2	1.869370254117e-07
3	001	3	3.728673686636e-07
3	001	4	2.491613763826e-07
3	001	5	1.252074783208e-07
3	001	6	1.871839235109e-07
3	001	7	6.323002544908e-08
3	001	8	1.004666796638e-09
3	001	9	3.728663609821e-07
3	001	10	2.491603687010e-07
3	001	11	1.252064706392e-07
3	001	12	1.871829158294e-07
3	001	13	6.322901776754e-08
3	001	14	1.003659115102e-09
3	001	15	1.869340023671e-07
3	001	16	6.298010430525e-08
3	001	17	7.547456528056e-10
3	010	0	1.254503819704e-07
3	010	1	2.489074607891e-07
3	010	2	3.728603511694e-07
3	010	3	1.249545704089e-07
3	010	4	2.484116492276e-07
3	010	5	3.723645396079e-07
3	010	6	2.484116492276e-07
3	010	7	3.723645396079e-07
3	010	8	3.728603511694e-07
3	010	9	1.001680028566e-09
3	010	10	1.244587588473e-07
3	010	11	2.484116492276e-07
3	010	12	1.244587588473e-07
3	010	13	2.484116492276e-07
3	010	14	2.489074607891e-07
3	010	15	1.001680028566e-09
3	010	16	1.249545704089e-07
3	010	17	1.254503819704e-07
3	011	0	4.345969157546e-07
3	011	1	3.728673686636e-07
3	011	2	3.728663609821e-07
3	011	3	3.108909234735e-07
3	011	4	2.491613763826e-07
3	011	5	2.491603687010e-07
3	011	6	1.871839235109e-07
3	011	7	1.871829158294e-07
3	011	8	1.869340023671e-07
3	011	9	1.869370254117e-07
3	011	10	1.252074783208e-07
3	011	11	1.252064706392e-07
3	011	12	6.323002544908e-08
3	011	13	6.322901776754e-08
3	011	14	6.298010430525e-08
3	011	15	1.004666796638e-09
3	011	16	1.003659115102e-09
3	011	17	7.547456528056e-10
3	100	0	7.547456528056e-10
3	100	1	1.003659115102e-09
3	100	2	1.004666796638e-09
3	100	3	6.298010430525e-08
3	100	4	6.322901776754e-08
3	100	5	6.323002544908e-08
3	100	6	1.252064706392e-07
3	100	7	1.252074783208e-07
3	100	8	1.869370254117e-07
3	100	9	1.869340023671e-07
3	100	10	1.871829158294e-07
3	100	11	1.871839235109e-07
3	100	12	2.491603687010e-07
3	100	13	2.491613763826e-07
3	100	14	3.108909234735e-07
3	100	15	3.728663609821e-07
3	100	16	3.728673686636e-07
3	100	17	4.345969157546e-07
3	101	0	1.254503819704e-07
3	101	1	1.249545704089e-07
3	101	2	1.001680028566e-09
3	101	3	2.489074607891e-07
3	101	4	2.484116492276e-07
3	101	5	1.244587588473e-07
3	101	6	2.484116492276e-07
3	101	7	1.244587588473e-07
3	101	8	1.001680028566e-09
3	101	9	3.728603511694e-07
3	101	10	3.723645396079e-07
3	101	11	2.484116492276e-07
3	101	12	3.723645396079e-07
3	101	13	2.484116492276e-07
3	101	14	1.249545704089e-07
3	101	15	3.728603511694e-07
3	101	16	2.489074607891e-07
3	101	17	1.254503819704e-07
3	110	0	7.547456528056e-10
3	110	1	6.298010430525e-08
3	110	2	1.869340023671e-07
3	110	3	1.003659115102e-09
3	110	4	6.322901776754e-08
3	110	5	1.871829158294e-07
3	110	6	1.252064706392e-07
3	110	7	2.491603687010e-07
3	110	8	3.728663609821e-07
3	110	9	1.004666796638e-09
3	110	10	6.323002544908e-08
3	110	11	1.871839235109e-07
3	110	12	1.252074783208e-07
3	110	13	2.491613763826e-07
3	110	14	3.728673686636e-07
3	110	15	1.869370254117e-07
3	110	16	3.108909234735e-07
3	110	17	4.345969157546e-07
3	111	0	6.397574606225e-08
3	111	1	6.397574606225e-08
3	111	2	6.397574606225e-08
3	111	3	6.397574606225e-08
3	111	4	6.397574606225e-08
3	111	5	6.397574606225e-08
3	111	6	6.397574606225e-08
3	111	7	6.397574606225e-08
3	111	8	6.397574606225e-08
3	111	9	6.397574606225e-08
3	111	10	6.397574606225e-08
3	111	11	6.397574606225e-08
3	111	12	6.397574606225e-08
3	111	13	6.397574606225e-08
3	111	14	6.397574606225e-08
3	111	15	6.397574606225e-08
3	111	16	6.397574606225e-08
3	111	17	6.397574606225e-08
4	0000	0	1.866851448986e-07
